,state,action,reward,new_state,terminal
0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5681075643971756, -0.08574970105571053)","[1, 1]",-1.4278596985789827,"(-0.06667124480009079, 0.1484512984752655, 0.0012342844856902957, -0.006667124480009079, 0.014845129847526551, 0.00012342844856902958, 0.6681075692176819, -0.07876838743686676)",False
1,"(-0.06667124480009079, 0.1484512984752655, 0.0012342844856902957, -0.006667124480009079, 0.014845129847526551, 0.00012342844856902958, 0.6681075692176819, -0.07876838743686676)","[1, 1]",-1.4764184520618509,"(-0.09966550767421722, 0.1441449671983719, 0.0019269807962700725, -0.0032994262874126434, -0.0004306331276893616, 6.926963105797767e-05, 0.7681075930595398, -0.07178706675767899)",False
2,"(-0.09966550767421722, 0.1441449671983719, 0.0019269807962700725, -0.0032994262874126434, -0.0004306331276893616, 6.926963105797767e-05, 0.7681075930595398, -0.07178706675767899)","[0, 1]",-1.4061650519277809,"(-0.13289187848567963, 0.1383606344461441, 0.002628275193274021, -0.0033226370811462406, -0.0005784332752227783, 7.012943970039487e-05, 0.7681075930595398, -0.06480574607849121)",False
3,"(-0.13289187848567963, 0.1383606344461441, 0.002628275193274021, -0.0033226370811462406, -0.0005784332752227783, 7.012943970039487e-05, 0.7681075930595398, -0.06480574607849121)","[-1, 0]",-1.2871272665009112,"(-0.16693489253520966, 0.12986335158348083, 0.0033432221971452236, -0.003404301404953003, -0.000849728286266327, 7.149470038712025e-05, 0.6681075692176819, -0.06480574607849121)",False
4,"(-0.16693489253520966, 0.12986335158348083, 0.0033432221971452236, -0.003404301404953003, -0.000849728286266327, 7.149470038712025e-05, 0.6681075692176819, -0.06480574607849121)","[0, 1]",-1.2068274899305598,"(-0.19978836178779602, 0.11779269576072693, 0.004040209110826254, -0.003285346925258637, -0.0012070655822753907, 6.969869136810304e-05, 0.6681075692176819, -0.057824429124593735)",False
5,"(-0.19978836178779602, 0.11779269576072693, 0.004040209110826254, -0.003285346925258637, -0.0012070655822753907, 6.969869136810304e-05, 0.6681075692176819, -0.057824429124593735)","[1, 0]",-1.0806213429489013,"(-0.22882384061813354, 0.10251351445913315, 0.004677204415202141, -0.0029035478830337527, -0.0015279181301593781, 6.36995304375887e-05, 0.7681075930595398, -0.057824429124593735)",False
6,"(-0.22882384061813354, 0.10251351445913315, 0.004677204415202141, -0.0029035478830337527, -0.0015279181301593781, 6.36995304375887e-05, 0.7681075930595398, -0.057824429124593735)","[1, 0]",-1.102181777556676,"(-0.25307267904281616, 0.08522076159715652, 0.005233976989984512, -0.002424883842468262, -0.0017292752861976625, 5.567725747823715e-05, 0.8681076169013977, -0.057824429124593735)",False
7,"(-0.25307267904281616, 0.08522076159715652, 0.005233976989984512, -0.002424883842468262, -0.0017292752861976625, 5.567725747823715e-05, 0.8681076169013977, -0.057824429124593735)","[-1, -1]",-1.1307215426918047,"(-0.2736261188983917, 0.06684385240077972, 0.00571920583024621, -0.0020553439855575564, -0.0018376909196376801, 4.852288402616978e-05, 0.7681075930595398, -0.06480574607849121)",False
8,"(-0.2736261188983917, 0.06684385240077972, 0.00571920583024621, -0.0020553439855575564, -0.0018376909196376801, 4.852288402616978e-05, 0.7681075930595398, -0.06480574607849121)","[-1, 0]",-1.1337973873517626,"(-0.29210948944091797, 0.04740983247756958, 0.006150365807116032, -0.0018483370542526246, -0.0019434019923210144, 4.311599768698216e-05, 0.6681075692176819, -0.06480574607849121)",False
9,"(-0.29210948944091797, 0.04740983247756958, 0.006150365807116032, -0.0018483370542526246, -0.0019434019923210144, 4.311599768698216e-05, 0.6681075692176819, -0.06480574607849121)","[0, -1]",-1.0554288724902756,"(-0.30911827087402344, 0.026350844651460648, 0.006531857419759035, -0.0017008781433105469, -0.0021058987826108933, 3.814916126430035e-05, 0.6681075692176819, -0.07178706675767899)",False
10,"(-0.30911827087402344, 0.026350844651460648, 0.006531857419759035, -0.0017008781433105469, -0.0021058987826108933, 3.814916126430035e-05, 0.6681075692176819, -0.07178706675767899)","[1, 0]",-1.1241605589318673,"(-0.324094295501709, 0.003154173493385315, 0.006852605380117893, -0.0014976024627685548, -0.0023196671158075334, 3.2074796035885814e-05, 0.7681075930595398, -0.07178706675767899)",False
11,"(-0.324094295501709, 0.003154173493385315, 0.006852605380117893, -0.0014976024627685548, -0.0023196671158075334, 3.2074796035885814e-05, 0.7681075930595398, -0.07178706675767899)","[-1, 1]",-1.1398237402954812,"(-0.3361181318759918, -0.022456493228673935, 0.007096925750374794, -0.0012023836374282838, -0.0025610666722059253, 2.443203702569008e-05, 0.6681075692176819, -0.06480574607849121)",False
12,"(-0.3361181318759918, -0.022456493228673935, 0.007096925750374794, -0.0012023836374282838, -0.0025610666722059253, 2.443203702569008e-05, 0.6681075692176819, -0.06480574607849121)","[0, 1]",-0.9652616058253014,"(-0.3440752625465393, -0.05080699175596237, 0.007247318513691425, -0.0007957130670547486, -0.0028350498527288438, 1.5039276331663133e-05, 0.6681075692176819, -0.057824429124593735)",False
13,"(-0.3440752625465393, -0.05080699175596237, 0.007247318513691425, -0.0007957130670547486, -0.0028350498527288438, 1.5039276331663133e-05, 0.6681075692176819, -0.057824429124593735)","[0, 0]",-0.8394889255807372,"(-0.3457987606525421, -0.08230312913656235, 0.007272747345268726, -0.00017234981060028077, -0.0031496137380599976, 2.5428831577301026e-06, 0.6681075692176819, -0.057824429124593735)",False
14,"(-0.3457987606525421, -0.08230312913656235, 0.007272747345268726, -0.00017234981060028077, -0.0031496137380599976, 2.5428831577301026e-06, 0.6681075692176819, -0.057824429124593735)","[0, 1]",-0.8108014884981716,"(-0.337505578994751, -0.11678817868232727, 0.0071200840175151825, 0.0008293181657791139, -0.0034485049545764923, -1.5266332775354387e-05, 0.6681075692176819, -0.05084311217069626)",False
15,"(-0.337505578994751, -0.11678817868232727, 0.0071200840175151825, 0.0008293181657791139, -0.0034485049545764923, -1.5266332775354387e-05, 0.6681075692176819, -0.05084311217069626)","[0, -1]",-0.6971708102604187,"(-0.31486791372299194, -0.15274177491664886, 0.006727918982505798, 0.0022637665271759036, -0.0035953596234321594, -3.921650350093842e-05, 0.6681075692176819, -0.057824429124593735)",False
